Year,SP500 Price,Dividend,Dividend Yield,EPS,CAPE,Inflation,Total Return,Cumulative
1925,12.46,0.6,0.048154093,1.25,11.15,1,,1
1926,13.49,0.69,0.051148999,1.24,11.34096619,0.99,0.116239,1.1162394
1927,17.46,0.77,0.044100802,1.11,13.00905273,0.96,0.374885,1.53470126
1928,23.15,0.85,0.036717063,1.38,18.64662402,0.96,0.436084,2.203960355
1929,21.4,0.97,0.045327103,1.61,25.30159103,0.96,-0.084153,2.018489485
1930,15.51,0.98,0.063185042,0.97,22.00737318,0.9,-0.24897,1.51594641
1931,8.44,0.82,0.097156398,0.61,16.05500186,0.81,-0.433365,0.858987997
1932,6.82,0.5,0.073313783,0.41,9.306032868,0.73,-0.081928,0.788612928
1933,9.97,0.44,0.044132397,0.44,8.257073999,0.73,0.539901,1.214385571
1934,9.26,0.45,0.048596112,0.49,12.28180162,0.75,-0.014427,1.196865554
1935,13.04,0.47,0.036042945,0.76,11.63933757,0.77,0.476688,1.767397166
1936,17.06,0.72,0.042203986,1.02,16.15919271,0.78,0.339213,2.366921091
1937,11.02,0.8,0.072595281,1.13,21.12566355,0.8,-0.350265,1.537871138
1938,12.69,0.51,0.040189125,0.64,13.00848303,0.78,0.311216,2.016481704
1939,12.37,0.62,0.050121261,0.9,15.75648444,0.78,-0.004108,2.008198201
1940,10.53,0.67,0.06362773,1.05,16.2804129,0.79,-0.097844,1.811708424
1941,8.76,0.71,0.081050228,1.16,13.90842612,0.86,-0.115921,1.601692722
1942,9.52,0.59,0.06197479,1.03,10.08659331,0.94,0.203403,1.927482491
1943,11.48,0.61,0.053135889,0.94,9.617514103,0.97,0.258997,2.426694961
1944,13.1,0.64,0.048854962,0.93,10.73736032,0.99,0.197525,2.906029069
1945,17.33,0.66,0.038084247,0.96,11.63868359,1.02,0.364361,3.964872952
1946,15.13,0.71,0.046926636,1.06,15.02034747,1.2,-0.080713,3.644854821
1947,15.03,0.84,0.055888224,1.61,11.37277943,1.31,0.05708,3.852902713
1948,15.19,0.93,0.06122449,2.29,10.68091253,1.35,0.055012,4.064857487
1949,16.54,1.14,0.068923821,2.32,10.15965294,1.32,0.187925,4.828745286
1950,19.75,1.47,0.07443038,2.84,10.5293309,1.4,0.31713,6.36008307
1951,23.41,1.41,0.060230671,2.44,11.30666579,1.48,0.240164,7.887546481
1952,26.04,1.41,0.054147465,2.4,12.14707257,1.49,0.183675,9.336288015
1953,24.83,1.45,0.0583971,2.51,12.93396431,1.5,-0.009892,9.243936257
1954,34.97,1.54,0.044037747,2.77,11.75444918,1.5,0.526236,14.10843049
1955,45.37,1.64,0.036147234,3.62,15.789062,1.5,0.315627,18.56143079
1956,46.44,1.74,0.0374677,3.41,18.94236904,1.54,0.065559,19.77830806
1957,40.33,1.79,0.044383833,3.37,17.19752273,1.59,-0.107824,17.64572189
1958,53.49,1.75,0.032716396,2.89,13.67324606,1.62,0.433636,25.29754916
1959,59.06,1.83,0.030985439,3.39,17.35835737,1.64,0.119551,28.3219014
1960,56.8,1.95,0.034330986,3.27,18.62472898,1.67,0.004696,28.45490768
1961,71.74,2.02,0.028157234,3.19,17.56209083,1.68,0.268885,36.10599702
1962,62.64,2.13,0.034003831,3.67,22.0414802,1.7,-0.087285,32.95448489
1963,74.17,2.28,0.030740191,4.02,18.58583612,1.73,0.228012,40.46850438
1964,83.96,2.5,0.029776084,4.55,21.03859938,1.75,0.164827,47.13880688
1965,91.73,2.72,0.02965224,5.19,22.75298477,1.78,0.12451,53.00808008
1966,81.33,2.87,0.035288331,5.55,23.69411155,1.84,-0.100633,47.67372947
1967,95.3,2.92,0.030640084,5.33,19.73647375,1.9,0.239757,59.10382569
1968,106.5,3.07,0.028826291,5.76,21.75159781,1.99,0.110614,65.64154108
1969,91.11,3.16,0.03468335,5.78,22.277873,2.11,-0.085046,60.05901808
1970,90.05,3.14,0.034869517,5.13,17.32692991,2.22,0.038569,62.37542607
1971,99.17,3.07,0.030956943,5.7,15.87384069,2.3,0.143005,71.29544083
1972,117.5,3.15,0.026808511,6.42,16.60355721,2.38,0.189951,84.83811288
1973,94.78,3.38,0.035661532,8.16,18.64571944,2.59,-0.146892,72.37603849
1974,67.07,3.6,0.053675265,8.89,13.49332969,2.9,-0.264668,53.22045179
1975,88.7,3.68,0.041488162,7.96,8.289060056,3.11,0.372276,73.03313564
1976,104.7,4.05,0.038681948,9.91,10.25036842,3.25,0.23927,90.50774365
1977,93.82,4.67,0.049776167,10.89,11.59758973,3.48,-0.071573,84.02980226
1978,96.11,5.07,0.052752055,12.33,9.678266583,3.79,0.065708,89.55122004
1979,107.8,5.65,0.052411874,14.86,9.011941819,4.29,0.186092,106.2159981
1980,133.5,6.16,0.046142322,14.82,8.745204405,4.83,0.325039,140.7403526
1981,123.8,6.63,0.05355412,15.36,9.389902085,5.26,-0.049231,133.811607
1982,139.4,6.87,0.04928264,12.64,7.832562137,5.46,0.215464,162.6432083
1983,164.4,7.09,0.043126521,14.03,8.467738401,5.67,0.225553,199.3278726
1984,164.5,7.53,0.045775076,16.64,9.815010904,5.89,0.062737,211.8330176
1985,207.3,7.9,0.038109021,14.61,9.595054801,6.11,0.317268,279.0407882
1986,248.6,8.28,0.033306516,14.48,11.69052147,6.18,0.186651,331.1239271
1987,241,8.81,0.036556017,17.5,14.08513981,6.46,0.052506,348.509988
1988,276.5,9.75,0.035262206,23.75,13.38902851,6.74,0.166084,406.3918215
1989,348.6,11.06,0.031726908,22.87,14.70208675,7.05,0.316862,535.1619854
1990,328.75,12.09,0.036775665,21.34,17.6502129,7.49,-0.031042,518.5492752
1991,388.51,12.2,0.031402023,15.97,15.84631497,7.72,0.304658,676.5293119
1992,435.64,12.39,0.028440915,19.09,18.44165231,7.92,0.076194,728.0768548
1993,465.95,12.58,0.026998605,21.89,20.44860672,8.13,0.100787,801.4574544
1994,455.19,13.17,0.028932973,30.6,21.16473208,8.35,0.013205,812.0404149
1995,614.57,13.79,0.022438453,33.96,19.91148411,8.56,0.375778,1117.187279
1996,743.25,14.9,0.02004709,38.73,25.02738066,8.85,0.229602,1373.695304
1997,962.37,15.5,0.016106071,39.72,27.72394616,9,0.333634,1832.006471
1998,1190.05,16.2,0.013612873,37.71,33.03078904,9.14,0.285786,2355.567637
1999,1428.68,16.69,0.011682112,48.17,38.82027478,9.39,0.210415,2851.215176
2000,1330.93,16.27,0.012224535,50,44.19793976,9.707,-0.091044,2591.629417
2001,1144.93,15.74,0.013747565,24.69,37.274238,9.857,-0.118858,2283.592612
2002,899.18,16.07,0.017871839,27.59,30.49995326,10.091,-0.221005,1778.90692
2003,1080.64,17.39,0.016092316,48.74,23.10144254,10.273,0.286845,2289.177679
2004,1199.21,19.44,0.016210672,58.55,26.63517051,10.616,0.10882,2538.286942
2005,1262.07,22.22,0.017605996,69.83,27.14480869,10.978,0.049119,2662.966219
2006,1416.42,24.88,0.017565411,81.51,26.44380311,11.257,0.157943,3083.562623
2007,1479.22,27.73,0.018746366,66.18,27.28268979,11.717,0.05494,3252.972805
2008,877.56,28.39,0.032351064,14.88,25.95551011,11.728,-0.369978,2049.443355
2009,1110.38,22.41,0.02018228,50.97,15.37608075,12.047,0.264645,2591.817655
2010,1241.53,22.73,0.018308055,77.35,20.3223765,12.227,0.150634,2982.232698
2011,1243.32,26.43,0.021257601,86.95,22.39637977,12.589,0.021118,3045.211164
2012,1422.29,31.25,0.021971609,86.51,20.5235755,12.808,0.160035,3532.550928
2013,1807.78,34.99,0.019355231,100.2,21.23826114,13.001,0.323881,4676.67877
2014,2054.27,39.44,0.019199034,102.31,24.8618693,13.1,0.136885,5316.846551
2015,2054.08,43.39,0.021123812,86.53,26.79408548,13.195,0.013838,5390.422392
2016,2246.63,45.7,0.020341578,94.55,27.87,13.46874639,0.119599,6035.112746
2017,2664.34,48.93,0.018364773,109.88,32.09,13.75281336,0.218316,7352.672456
2018,2567.31,53.75,0.020936311,132.39,28.29,14.00848479,-0.043843,7030.305823
2019,3176.75,58.24,0.018333202,140.42,30.33,14.33578662,0.314864,9243.895766
2020,3695.31,58.28,0.015771343,94.13,33.7,14.53104082,0.183988,10944.65918
2021,4674.77,60.4,0.012920422,197.87,38.3,15.55350339,0.287054,14086.3695
2022,3912.38,66.92,0.017104678,172.75,28.32,16.55738892,-0.181109,11535.20729
2023,4685.05,70.3,0.015005176,192.43,31.45,17.11241294,0.262876,14567.54143
2024,6010.91,74.83,0.01244903,,37.92,17.60662921,0.250473,18216.31723
